Churchgate ,0,0
Marine Lines ,1300,1300
Charni Road ,910,2210
Grant Road ,1380,3590
Mumbai Central ,890,4480
Mahalaxmi ,1470,5950
Lower Parel ,1720,7670
Elphinstone Road ,1310,8980
Dadar ,1190,10170
Matunga Road ,1580,11750
Mahim ,1180,12930
Bandra ,1730,14660
Khar Road ,1630,16290
Santacruz ,1320,17610
Vile Parle ,2060,19670
Andheri ,2160,21830
Jogeshwari ,1690,23520
Goregaon ,3380,26900
Malad ,2420,29320
Kandivali ,1900,31220
Borivali ,2760,33980
Dahisar ,2360,36340
Mira Road ,3420,39760
Bhayandar ,3350,43110
Naigaon ,4680,47790
Vasai ,3990,51780
Nalasopara ,4070,55850
Virar ,4130,59980
Vaitarna ,8440,68420
Saphale ,8320,76740
Kelve Road ,5810,82550
Palghar ,8370,90920
Umroli ,6220,97140
Boisar ,5720,102860
Vangaon ,8720,111580
Dahanu Road ,12200,123780
